# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=139955443
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=/Users/peterzhu/Documents/projects/soccr_master/soccr_cogsci_2025/diagnostic_files/diag_file_full_soccr_study1_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,p_gamma.1,p_z_beta.1,g_gamma.1,g_z_beta.1
-27.6786,1,0.455426,2,3,0,28.5583,-0.765934,-0.213686,1.37521,7.77835,-0.69073,9.76005
-27.1707,1,0.455426,2,3,0,27.6935,-0.798164,-0.280202,0.114394,-6.51195,-0.664234,6.20657
-26.8605,0.972881,0.455426,1,3,0,27.6851,-0.709463,-0.362528,-1.22909,7.63111,0.58821,1.25913
-27.1234,0.964055,0.455426,2,5,0,27.5626,-0.78173,-0.286522,1.00052,-5.46616,-0.482974,5.77206
-27.7256,0.958362,0.455426,3,7,0,28.4901,-0.793543,-0.59147,2.27198,-5.67027,1.50501,-9.13456
-27.798,0.994987,0.455426,1,1,0,27.8329,-0.787409,-0.598226,-0.269676,1.55319,1.59824,-9.46752
-28.32,0.975729,0.455426,2,7,0,28.85,-1.30982,-0.315445,0.57671,-6.41368,-4.63647,7.77255
-29.5394,0.945154,0.455426,2,7,0,30.0535,-1.28807,-0.189956,-2.67953,0.304161,-5.23661,13.41
-27.0638,1,0.455426,2,3,0,29.741,-0.647254,-0.303069,-4.53653,9.90293,0.820635,4.15984
-27.0118,1,0.455426,3,7,0,27.1082,-1.02609,-0.468096,1.16137,-0.023843,-1.2175,-1.6787
-27.5601,0.963665,0.455426,3,7,0,28.3538,-1.12185,-0.583742,-0.305822,7.99681,-0.857888,-5.96531
-28.0372,0.954134,0.455426,3,11,0,29.1441,-0.404433,-0.50783,1.65985,8.59937,3.86693,-7.67288
-29.125,0.978403,0.455426,3,7,0,29.3281,-0.304366,-0.576692,-1.47757,1.95782,4.85667,-11.1479
-28.3497,0.99686,0.455426,2,7,0,29.5837,-0.521869,-0.587577,-4.11117,1.46666,3.3765,-10.7053
-27.5494,0.961507,0.455426,2,7,0,30.0284,-1.27212,-0.455832,5.12766,-6.98568,-3.17073,1.10418
-27.4915,0.973012,0.455426,2,3,0,28.101,-1.23571,-0.421612,2.87592,-1.2316,-3.21415,2.31644
-27.8598,0.956893,0.455426,3,7,0,29.3227,-0.522584,-0.206222,-4.00125,5.09156,1.6236,9.30712
-26.9893,0.999348,0.455426,2,7,0,28.0601,-0.815531,-0.316774,-2.20106,-7.67365,-0.609552,4.32953
-26.833,0.99918,0.455426,2,3,0,27.0101,-0.732591,-0.379592,0.551697,-3.55327,0.492515,0.501931
-27.7887,0.940385,0.455426,3,7,0,28.4321,-1.28664,-0.386784,0.0512138,7.22944,-3.89658,4.34469
-27.7994,0.96084,0.455426,3,7,0,30.0159,-0.546275,-0.208879,-4.69647,7.21499,1.39765,9.22088
-28.4407,0.90271,0.455426,3,7,0,30.6729,-1.42678,-0.653534,2.21872,-12.3613,-2.19277,-5.67199
-28.3172,1,0.455426,1,1,0,28.44,-1.40058,-0.641594,-0.892661,-2.31315,-2.15193,-5.48035
-28.5563,0.992347,0.455426,3,7,0,28.7578,-1.33541,-0.692279,1.26876,-2.65141,-1.17403,-8.21304
-28.1983,0.979977,0.455426,3,7,0,29.2339,-1.46382,-0.502533,-0.579823,-9.06606,-4.07147,0.963222
-27.4013,1,0.455426,3,7,0,28.4569,-0.818818,-0.556207,-3.11781,-5.41655,1.05709,-7.40974
